year,code,amount,name,topname,depname,depcat,cat,ref
2013,3202010401,9355000,國家發展研究及諮詢,總統府主管,總統府,研究發展,國務支出,1.1.4.1
2013,3202019011,1570000,交通及運輸設備,總統府主管,總統府,一般建築及設備,國務支出,1.1.8.1
2013,5302301001,10779000,史料採集,總統府主管,國史館,史料採集與典藏,文化支出,1.3.3.1
2013,5302301002,8901000,史料整編典藏閱覽,總統府主管,國史館,史料採集與典藏,文化支出,1.3.3.2
2013,5302314002,7257000,採集文獻暨文物大樓營運,總統府主管,國史館臺灣文獻館,文獻業務,文化支出,1.4.3.1
2013,5302314003,5980000,整理文獻暨文獻大樓營運,總統府主管,國史館臺灣文獻館,文獻業務,文化支出,1.4.3.2
2013,5302314004,9225000,編輯文獻暨史蹟大樓營運,總統府主管,國史館臺灣文獻館,文獻業務,文化支出,1.4.3.3
2013,5202401020,2967433000,學術審議及研究獎助,總統府主管,中央研究院,一般學術研究及評議,科學支出,1.5.2.1
2013,5202401023,2702473000,主題研究與人才培育,總統府主管,中央研究院,一般學術研究及評議,科學支出,1.5.2.2
2013,5202402010,1820931000,數理科學研究,總統府主管,中央研究院,自然及人文社會科學研究,科學支出,1.5.3.1
2013,5202402020,2030039000,生命科學研究,總統府主管,中央研究院,自然及人文社會科學研究,科學支出,1.5.3.2
2013,5202402030,1006138000,人文及社會科學研究,總統府主管,中央研究院,自然及人文社會科學研究,科學支出,1.5.3.3
2013,5202409001,16200000,土地購置,總統府主管,中央研究院,一般建築及設備,科學支出,1.5.4.1
2013,5202409002,2760640000,營建工程,總統府主管,中央研究院,一般建築及設備,科學支出,1.5.4.2
2013,5202409011,640000,交通及運輸設備,總統府主管,中央研究院,一般建築及設備,科學支出,1.5.4.3
2013,3303019002,8240000,營建工程,行政院主管,行政院,一般建築及設備,行政支出,2.1.14.1
2013,3303019011,6273000,交通及運輸設備,行政院主管,行政院,一般建築及設備,行政支出,2.1.14.2
2013,3303019019,1116000,其他設備,行政院主管,行政院,一般建築及設備,行政支出,2.1.14.3
2013,3303109011,2328000,交通及運輸設備,行政院主管,主計總處,一般建築及設備,行政支出,2.2.9.1
2013,3303109019,81147000,其他設備,行政院主管,主計總處,一般建築及設備,行政支出,2.2.9.2
2013,3303300201,6083000,人事行政綜合規劃,行政院主管,人事行政總處,人事行政之政策規劃執行及發展,行政支出,2.3.2.1
2013,3303300202,2756000,加強組編人力運用,行政院主管,人事行政總處,人事行政之政策規劃執行及發展,行政支出,2.3.2.2
2013,3303300203,100293000,公務人員培訓與考用,行政院主管,人事行政總處,人事行政之政策規劃執行及發展,行政支出,2.3.2.3
2013,3303300204,10852000,給與福利制度規劃,行政院主管,人事行政總處,人事行政之政策規劃執行及發展,行政支出,2.3.2.4
2013,3303300205,59573000,創新e化人事服務,行政院主管,人事行政總處,人事行政之政策規劃執行及發展,行政支出,2.3.2.5
2013,3303309011,NaN,交通及運輸設備,行政院主管,人事行政總處,一般建築及設備,行政支出,2.3.3.1
2013,5303409002,190000000,營建工程,行政院主管,國立故宮博物院,一般建築及設備,文化支出,2.6.8.1
2013,5303409019,18010000,其他設備,行政院主管,國立故宮博物院,一般建築及設備,文化支出,2.6.8.2
2013,6103501020,15501000,研擬國家發展計畫,行政院主管,經濟建設委員會,經建計畫之設計、研審及協調,其他經濟服務支出,2.7.2.1
2013,6103501021,29956000,研擬經濟政策、協調推動財經措施,行政院主管,經濟建設委員會,經建計畫之設計、研審及協調,其他經濟服務支出,2.7.2.2
2013,6103501022,23354000,促進產業發展,行政院主管,經濟建設委員會,經建計畫之設計、研審及協調,其他經濟服務支出,2.7.2.3
2013,6103501023,6532000,促進人力資源發展、建構完備社會安全網,行政院主管,經濟建設委員會,經建計畫之設計、研審及協調,其他經濟服務支出,2.7.2.4
2013,6103501024,159632000,健全國土規劃及經營管理,行政院主管,經濟建設委員會,經建計畫之設計、研審及協調,其他經濟服務支出,2.7.2.5
2013,6103501025,8285000,推動財經法規鬆綁與革新、健全企業投資發展環境,行政院主管,經濟建設委員會,經建計畫之設計、研審及協調,其他經濟服務支出,2.7.2.6
2013,6103501120,2784000,強化國家建設財務規劃審議及有效運用國家資金,行政院主管,經濟建設委員會,經建計畫之評估及考核,其他經濟服務支出,2.7.3.1
2013,6103501121,13889000,強化政府重大公共建設計畫先期作業及計畫管考,行政院主管,經濟建設委員會,經建計畫之評估及考核,其他經濟服務支出,2.7.3.2
2013,6103508102,2500000000,花東地區永續發展基金,行政院主管,經濟建設委員會,非營業特種基金,其他經濟服務支出,2.7.4.1
2013,6103509011,1100000,交通及運輸設備,行政院主管,經濟建設委員會,一般建築及設備,其他經濟服務支出,2.7.5.1
2013,6103509019,2489000,其他設備,行政院主管,經濟建設委員會,一般建築及設備,其他經濟服務支出,2.7.5.2
2013,3803679011,NaN,交通及運輸設備,行政院主管,中央選舉委員會及所屬,一般建築及設備,民政支出,2.9.5.1
2013,3803679019,480000,其他設備,行政院主管,中央選舉委員會及所屬,一般建築及設備,民政支出,2.9.5.2
2013,3303809002,2227000,營建工程,行政院主管,研究發展考核委員會,一般建築及設備,行政支出,2.10.9.1
2013,3303809019,3150000,其他設備,行政院主管,研究發展考核委員會,一般建築及設備,行政支出,2.10.9.2
2013,3303819011,NaN,交通及運輸設備,行政院主管,檔案管理局,一般建築及設備,行政支出,2.11.9.1
2013,3303819019,1924000,其他設備,行政院主管,檔案管理局,一般建築及設備,行政支出,2.11.9.2
2013,6103821010,7369000,限制競爭行為調查處理,行政院主管,公平交易委員會,公平交易業務,其他經濟服務支出,2.12.2.1
2013,6103821020,3414000,不公平競爭行為調查處理,行政院主管,公平交易委員會,公平交易業務,其他經濟服務支出,2.12.2.2
2013,6103821030,2783000,法務及行政救濟業務,行政院主管,公平交易委員會,公平交易業務,其他經濟服務支出,2.12.2.3
2013,6103821040,12787000,綜合規劃及宣導業務,行政院主管,公平交易委員會,公平交易業務,其他經濟服務支出,2.12.2.4
2013,6103821050,7049000,政策擬訂及國際交流業務,行政院主管,公平交易委員會,公平交易業務,其他經濟服務支出,2.12.2.5
2013,6103821070,12803000,產業調查經濟分析及資訊管理,行政院主管,公平交易委員會,公平交易業務,其他經濟服務支出,2.12.2.6
2013,6103829019,2518000,其他設備,行政院主管,公平交易委員會,一般建築及設備,其他經濟服務支出,2.12.3.1
2013,3303909011,NaN,交通及運輸設備,行政院主管,大陸委員會,一般建築及設備,行政支出,2.14.7.1
2013,3803978101,306149000,原住民族綜合發展基金,行政院主管,原住民族委員會,非營業特種基金,民政支出,2.17.6.1
2013,3803969002,18356000,營建工程,行政院主管,文化園區管理局,一般建築及設備,民政支出,2.18.3.1
2013,3404010201,292725000,委員歲費及公費,立法院主管,立法院,委員問政業務,立法支出,3.1.2.1
2013,3404010203,777932000,公費助理,立法院主管,立法院,委員問政業務,立法支出,3.1.2.2
2013,3404010204,56160000,國會交流事務,立法院主管,立法院,委員問政業務,立法支出,3.1.2.3
2013,3404010205,150032000,委員會館,立法院主管,立法院,委員問政業務,立法支出,3.1.2.4
2013,3404010206,207624000,問政相關業務,立法院主管,立法院,委員問政業務,立法支出,3.1.2.5
2013,3404019002,39800000,營建工程,立法院主管,立法院,一般建築及設備,立法支出,3.1.8.1
2013,3404019011,9460000,交通及運輸設備,立法院主管,立法院,一般建築及設備,立法支出,3.1.8.2
2013,3404019019,313912000,其他設備,立法院主管,立法院,一般建築及設備,立法支出,3.1.8.3
2013,3505019011,4285000,交通及運輸設備,司法院主管,司法院,一般建築及設備,司法支出,4.1.8.1
2013,3505019019,11835000,其他設備,司法院主管,司法院,一般建築及設備,司法支出,4.1.8.2
2013,3505059011,810000,交通及運輸設備,司法院主管,最高法院,一般建築及設備,司法支出,4.2.3.1
2013,3505059019,4278000,其他設備,司法院主管,最高法院,一般建築及設備,司法支出,4.2.3.2
2013,3505109019,132000,其他設備,司法院主管,最高行政法院,一般建築及設備,司法支出,4.3.3.1
2013,3505119019,132000,其他設備,司法院主管,臺北高等行政法院,一般建築及設備,司法支出,4.4.4.1
2013,3505129019,227000,其他設備,司法院主管,臺中高等行政法院,一般建築及設備,司法支出,4.5.3.1
2013,3505139019,467000,其他設備,司法院主管,高雄高等行政法院,一般建築及設備,司法支出,4.6.3.1
2013,3505209019,114000,其他設備,司法院主管,公務員懲戒委員會,一般建築及設備,司法支出,4.7.3.1
